CO111	O111	CO100	O100	CO110	O110	CO211	O211	Ni111	Ni100	Ni110	Ni211
-178.848113735191	-177.415485140614	-178.723164364362	-177.195306308905	-178.402117280422	-177.059399109753	-178.708807845747	-177.337782683621	-175.13080747297	-174.965163846719	-174.651987096214	-175.062944084906
-158.403635914336	-157.065100893133	-157.348001191726	-155.911864358698	-154.674945530839	-153.498701432761	-157.887872837489	-156.67011622359	-155.364842280346	-154.165562985856	-151.425987975203	-154.985561217577
150.470829227182	149.556032089983	149.576581558364	148.564283513916	148.641225975186	147.561409875107	150.439518300193	149.284677165151	146.723298158083	145.821498565871	144.300744152451	146.465928936195
-954.2602996087	-948.439123465262	-954.990790183838	-949.290693394406	-956.144073625237	-950.262934714782	-954.476557482245	-948.57405416336	-935.873201647918	-936.673076928609	-937.97404205343	-936.178797069102
502.194781545278	499.214127551809	502.626899727493	499.716543799883	502.418270627817	499.401154158687	502.293381393205	499.242896899545	493.071519457658	493.600668157372	493.494290024156	493.172669001415
-229.8439155087	-228.296799673202	-229.063956103244	-227.551318817804	-226.363305185373	-224.869214435997	-229.554595713207	-228.01482506575	-225.916878333922	-225.104366090645	-222.189013803121	-225.595094912613
-43.7021805831063	-43.3074360166918	-44.1538542780923	-43.7304946045105	-44.7342945386291	-44.3673850156528	-43.8162657508782	-43.4670720415633	-42.7462322001856	-43.1817500385759	-43.8583063736351	-42.9093557008084
-103.506958857324	-102.778066919216	-103.666586666067	-102.914858770629	-103.656425941078	-103.028719198493	-103.485622813457	-102.845420284632	-101.874907206815	-102.024604496188	-102.09327931929	-101.913398321088
-49.1732703885518	-48.7223780046797	-48.2434181043172	-47.7990907993608	-45.3912895037229	-45.0350559137678	-48.741190393137	-48.3612659067221	-48.61779098027	-47.6077074198556	-44.7146276304857	-48.2463369757634
-50.1540339636917	-49.7756402005393	-49.7446291837155	-49.2315625546166	-49.0550459415267	-48.6749931111979	-49.9302265299109	-49.5386734937285	-48.8799269893218	-48.3876489624422	-47.7575247337568	-48.7462323344585
741.784885989827	737.08085357831	742.381045662714	737.691923655483	743.401550787538	738.658520933313	741.961854867369	737.189229056416	727.05802274134	727.675272537183	728.769113161698	727.302155377875
-182.759316824393	-182.201356199874	-182.902533943352	-182.376841281584	-183.459610856798	-182.753968623272	-183.061267122401	-182.313539630269	-179.711605967832	-179.908520877998	-180.156962362376	-179.828139079295
-70.8989667520709	-70.3899732008786	-71.0893550396268	-70.5259897496608	-71.5386362996232	-71.0589019237859	-70.8551155201003	-70.407106533512	-69.2610264350624	-69.3984807933366	-70.0582478537626	-69.3600034849687
-451.297254141996	-448.688741852299	-451.074099346119	-448.440708931881	-450.836346213972	-448.046756185889	-451.36775202553	-448.525772832524	-442.155442018076	-441.967621904908	-441.485926436829	-442.121904270246
664.516460331291	659.929081337039	663.640101622264	658.969369431081	660.656749799959	656.212525955683	664.037274324437	659.512497579442	651.689026638636	650.704800027885	647.650885621128	651.343325177022
-117.723473059058	-116.635343616575	-117.077269144187	-115.954271181366	-114.814291069839	-113.926108564227	-117.242209209181	-116.341035890285	-115.704242574143	-114.961792033876	-112.844095206369	-115.396693815098
-334.75801925228	-332.518398087891	-334.46625862689	-332.100535076052	-334.004863308335	-331.724815787064	-334.696605361361	-332.359124039642	-327.789790713714	-327.485980786676	-326.80385890666	-327.685208058127
205.97614317266	204.64347438187	205.801863513337	204.4697252879	205.051651637508	203.84004855873	205.763045904759	204.547458793878	202.359193786526	202.116444901078	201.558606783382	202.313337052469
-36.4616251252883	-36.2424960653143	-36.6916382311956	-36.453706616182	-36.7697166516418	-36.6110580008481	-36.5012123936517	-36.3362170376845	-36.0567863633287	-36.2800176112742	-36.4339995017494	-36.1226229076838
167.191575418421	166.355030615016	167.552098143859	166.734671349296	169.046267412598	168.017770743164	167.556037413463	166.502505071257	163.424915976306	163.882041037608	165.123080353591	163.608236602545
-27.3219008377082	-27.0129808374395	-26.8782860761116	-26.5624185873212	-25.4373004245122	-25.1829544481043	-27.1360293915486	-26.8632011452614	-27.024498379953	-26.5287499696342	-25.0074857617378	-26.8569962217107
61.2539423573085	60.8169802423754	61.3795644350903	60.9665057483512	60.75410528781	60.5065187010646	61.1031087977776	60.8736797687702	60.63582978983	60.6651204063414	60.3352588717503	60.6744532765824
234.192341784302	232.942211563239	234.289146523621	233.1065190772	235.886003431411	234.413365944783	234.593248039364	233.072304395699	228.889383292938	229.094628712132	230.201430506352	229.017807009693
-873.948958904404	-868.250941966083	-873.998747884901	-868.228651917774	-873.725645499896	-868.057517502794	-873.858336931872	-868.151982972087	-856.669283362774	-856.664829139107	-856.427312521629	-856.746512847451
464.95197046645	461.937966476754	465.293363301682	462.297725344518	466.163198164073	463.144675712932	465.092772965473	462.04570119445	455.74141914861	456.111608103202	456.91307112682	455.882894718183
110.077870294622	109.637928327686	110.204983447021	109.837048184664	110.483096240871	109.981288334176	110.16233434903	109.679139280008	108.1017926076	108.225627047409	108.535380424253	108.201499720115
-49.1899406394696	-49.3369354690212	-50.1054993666912	-50.2711279281461	-52.3821833354482	-52.385774475591	-49.6469476728994	-49.6662376190375	-48.2894013546952	-49.2805759153475	-51.6280809194504	-48.6644717267422
-289.863720759116	-288.054793086321	-289.874647485238	-288.058873020344	-289.761024864785	-288.033846485052	-289.727863767269	-288.006730133065	-284.381302017457	-284.342007018363	-284.414647965975	-284.411483073758
