dH	delta_dH
-557.7327682275513	44.90921356755052
-512.6817918347638	-0.14176282523703776
-505.77490450985306	-7.0486501501477505
-485.855769991374	-26.96778466862679
-546.9465050113263	34.12295035132547
-520.3058351590421	7.482280499041281
-490.7853895080093	-22.038165151991507
-511.86655621213185	-0.9569984478689548
-533.7328799318761	20.909325271875332
-557.3177452001772	44.49419054017642
-509.86445478952146	-2.959099870479349
-491.2177798535863	-21.6057748064145
-523.1311343970351	10.307579737034303
-519.2536073175629	6.430052657562101
-527.2999564260294	14.47640176602863
-515.7131699658444	2.889615305843563
-505.9167694892835	-6.906785170717285
-495.23720725099474	-17.586347409006066
-514.5024619869685	1.6789073269676464
-517.7641622891017	4.940607629100896
-528.845470051044	16.021915391043194
-486.56676090884434	-26.256793751156465
-494.88386707478537	-17.939687585215438
-521.1768313370442	8.353276677043368
-502.149953418427	-10.673601241573806
-483.42342512067194	-29.400129539328873
-521.9762986770068	9.152744017005944
-528.7408649853962	15.91731032539542
-547.6683028407344	34.84474818073363
-504.63617063495553	-8.187384025045276
-501.6139283233035	-11.209626336697283
-510.12454734444077	-2.6990073155600385
-510.4053194095816	-2.4182352504192295
-521.8750600874812	9.051505427480379
-533.4584006517646	20.63484599176377
-495.15227007116334	-17.671284588837466
-536.6290771753196	23.805522515318785
-503.40948016250445	-9.414074497496358
-494.5759452719152	-18.247609388085607
-493.8320025899551	-18.991552070045714
-487.2420324049384	-25.581522255062396
-532.4658634480913	19.64230878809053
-526.7333470742362	13.909792414235426
-506.6828674257034	-6.140687234297388
-501.44910514003675	-11.37444951996406
-540.1222210192977	27.29866635929693
-529.3189312118832	16.495376551882373
-519.1524605171547	6.328905857153927
-509.6950009996675	-3.1285536603332957
-516.6764973734396	3.852942713438779
-505.784233396614	-7.039321263386796
-528.8485056352022	16.024950975201364
-501.02349367004877	-11.800060989952044
-536.4960903296818	23.672535669680997
-510.5045967994014	-2.3189578605994257
-499.47480238678673	-13.348752273214075
-510.5698258326001	-2.253728827400721
-517.7106283512006	4.8870736911998165
-494.44862152699386	-18.374933133006948
-519.7111702299082	6.887615569907439
-534.7882715251576	21.964716865156788
-512.4832944244994	-0.34026023550143236
-483.8016396596248	-29.021915000375998
-524.7548922660756	11.931337606074749
-546.7250370373843	33.901482377383445
-516.9213060718961	4.097751411895274
-518.225142665307	5.4015880053061665
-500.02386271537307	-12.799691944627739
-508.05534932637374	-4.768205333627066
-545.1267692630677	32.30321460306686
-534.1938902348707	21.37033557486984
-501.1438128055356	-11.679741854465192
-540.120583005662	27.297028345661147
-482.41939718430467	-30.404157475696138
-571.6801230862525	58.85656842625167
-494.90662309844515	-17.916931561555657
-540.9887077236467	28.165153063645903
-544.2540561788023	31.43050151880152
-512.1060513648567	-0.7175032951440699
-518.6607918912682	5.837237231267409
-471.7589516644234	-41.06460299557739
-509.7887436738324	-3.034810986168395
-508.3280071611073	-4.495547498893529
-502.58546416255126	-10.238090497449548
-505.24783963094455	-7.575715029056255
-501.1484688718658	-11.675085788134993
-476.61527808458163	-36.20827657541918
-547.4688347800941	34.645280120093275
-513.2922638147782	0.46870915477734343
-536.5279705835812	23.704415923580427
-560.7224668074589	47.89891214745808
-505.6232862834961	-7.2002683765047095
-525.0007411385521	12.177186478551334
-502.1111767423238	-10.712377917677031
-504.94993347593413	-7.873621184066678
-499.60012286852293	-13.223431791477879
-518.161675530285	5.338120870284229
-480.9376020128923	-31.885952647108525
-500.4023233497463	-12.421231310254484
-524.4855363248096	11.661981664808764
-504.98973218702656	-7.833822472974248
-498.01217288874966	-14.811381771251149
-499.96488977398246	-12.858664886018346
-517.0954111229746	4.271856462973801
-518.7520796093156	5.928524949314806
-496.32954286808297	-16.494011791917842
-511.48993450943806	-1.3336201505627514
-506.0645745656418	-6.7589800943590035
-517.8173241717321	4.99376951173133
-485.12219746996914	-27.701357190031672
-491.40555689263476	-21.417997767366046
-503.3622775972433	-9.461277062757517
-485.4244082745961	-27.39914638540472
-504.03545961064435	-8.788095049356457
-512.8681828392891	0.04462817928833829
-517.3171216800238	4.493567020022965
-535.4962854438472	22.67273078384642
-525.0160782667717	12.19252360677092
-500.5952640925543	-12.228290567446493
-532.9159717480061	20.092417088005277
-477.80587942997954	-35.01767523002127
-515.0895721105753	2.266017450574509
-512.3923473063242	-0.43120735367665475
-512.9644285051781	0.1408738451773388
-509.138098792278	-3.685455867722794
-524.177201665907	11.353647005906168
-509.22638323987667	-3.597171420124141
-527.2687805553924	14.445225895391559
-514.863503306331	2.039948646330231
-517.282337567327	4.458782907326167
-504.0243269558987	-8.799227704102123
-504.3545484921924	-8.469006167808402
-530.1707221643637	17.347167504362915
-519.753268956797	6.929714296796192
-493.60258067610357	-19.220973983897238
-541.8872611751367	29.06370651513589
-533.2222182626329	20.39866360263204
-541.5924986371401	28.768943977139315
-491.2068696943693	-21.61668496563152
-530.8501985382181	18.026643878217328
-489.1580070957907	-23.6655475642101
-509.2142777703493	-3.6092768896514826
-518.8531976562163	6.029642996215443
-505.2741908275284	-7.549363832472409
-528.9597592905711	16.13620463057032
-519.427877982228	6.604323322227174
-490.93601665535516	-21.88753800464565
-502.2275030602441	-10.59605159975672
-491.5792846740778	-21.244269985922983
-530.7183979183255	17.894843258324727
-550.4774311607262	37.653876500725346
-496.28658511491903	-16.536969545081774
-520.4469513539816	7.623396693980794
-518.5606025079824	5.737047847981557
-510.57807894351026	-2.245475716490546
-498.51139147449885	-14.312163185501959
-516.5396087403324	3.71605408033156
-511.0818549350888	-1.7416997249119959
-488.2060696981871	-24.617484961813716
-527.1170438576983	14.293489197697454
-486.3414553858829	-26.4820992741179
-546.2959287621261	33.472374102125286
-479.5200878177552	-33.3034668422456
-510.1403250619137	-2.6832295980871095
-508.233877103607	-4.589677556393781
-482.73724151390934	-30.08631314609147
-479.5627506113947	-33.26080404860613
-512.938483674116	0.11492901411520506
-540.6673069755184	27.843752315517577
